cuisines,votes,name
Andhra,0,47
Andhra,4,12
Andhra,5,9
Andhra,6,2
Andhra,7,2
Andhra,8,6
Andhra,9,2
Andhra,10,1
Andhra,11,3
Andhra,12,2
Andhra,13,7
Andhra,16,2
Andhra,18,2
Andhra,21,14
Andhra,22,10
Andhra,23,13
Andhra,41,2
Andhra,45,2
Andhra,46,5
Andhra,48,1
Andhra,51,1
Andhra,57,1
Andhra,70,2
Andhra,71,1
Andhra,83,2
Andhra,85,2
Andhra,175,2
Andhra,177,1
Andhra,178,2
Andhra,240,2
Andhra,779,1
Andhra,781,3
Andhra,785,4
Andhra,787,3
"Andhra, Biryani",0,39
"Andhra, Biryani",4,1
"Andhra, Biryani",6,1
"Andhra, Biryani",7,2
"Andhra, Biryani",9,1
"Andhra, Biryani",11,2
"Andhra, Biryani",13,2
"Andhra, Biryani",14,2
"Andhra, Biryani",16,7
"Andhra, Biryani",18,2
"Andhra, Biryani",22,2
"Andhra, Biryani",52,2
"Andhra, Biryani",59,4
"Andhra, Biryani",60,6
"Andhra, Biryani",68,9
"Andhra, Biryani",87,2
"Andhra, Biryani",108,2
"Andhra, Biryani",110,2
"Andhra, Biryani",111,5
"Andhra, Biryani",131,1
"Andhra, Biryani",135,1
"Andhra, Biryani",136,2
"Andhra, Biryani",146,1
"Andhra, Biryani",158,1
"Andhra, Biryani",187,3
"Andhra, Biryani",188,1
"Andhra, Biryani",189,2
"Andhra, Biryani",190,1
"Andhra, Biryani",196,2
"Andhra, Biryani",212,1
"Andhra, Biryani",289,2
"Andhra, Biryani",321,1
"Andhra, Biryani",325,1
"Andhra, Biryani",326,2
"Andhra, Biryani",327,5
"Andhra, Biryani",330,1
"Andhra, Biryani",344,2
"Andhra, Biryani",920,1
"Andhra, Biryani",923,1
"Andhra, Biryani",927,1
"Andhra, Biryani",950,1
"Andhra, Biryani",970,1
"Andhra, Biryani",1278,1
"Andhra, Biryani",1292,2
"Andhra, Biryani",1772,2
"Andhra, Biryani",1773,2
"Andhra, Biryani",1789,2
"Andhra, Biryani",1792,2
"Andhra, Biryani",1796,1
"Andhra, Biryani",1817,1
"Andhra, Biryani",1926,2
Arabian,0,39
Arabian,8,10
Arabian,9,3
Arabian,10,4
Arabian,11,4
Arabian,13,5
Arabian,14,3
Arabian,16,2
Arabian,18,1
Arabian,20,2
Arabian,21,3
Arabian,30,3
Arabian,31,2
Arabian,32,2
Arabian,41,4
Arabian,66,2
Arabian,78,3
Arabian,79,1
Arabian,80,5
Arabian,82,4
Arabian,89,1
Arabian,96,1
Arabian,110,3
Arabian,111,3
Arabian,117,1
Arabian,118,3
Arabian,137,2
Arabian,160,1
Arabian,170,1
Arabian,175,1
Arabian,176,2
Arabian,179,2
Arabian,197,1
Arabian,198,1
Arabian,201,3
Arabian,219,3
Arabian,224,1
Arabian,381,6
Arabian,382,5
Arabian,405,2
Arabian,407,2
Arabian,410,1
Arabian,412,3
Arabian,413,1
Arabian,414,1
Arabian,792,1
Arabian,794,1
Bakery,0,274
Bakery,4,24
Bakery,5,13
Bakery,6,19
Bakery,7,12
Bakery,8,16
Bakery,9,4
Bakery,10,11
Bakery,11,22
Bakery,12,5
Bakery,13,2
Bakery,14,10
Bakery,15,18
Bakery,16,4
Bakery,17,8
Bakery,19,12
Bakery,20,4
Bakery,21,3
Bakery,22,6
Bakery,23,29
Bakery,24,8
Bakery,25,7
Bakery,27,7
Bakery,30,4
Bakery,31,4
Bakery,33,5
Bakery,34,2
Bakery,35,2
Bakery,36,15
Bakery,37,12
Bakery,38,2
Bakery,39,1
Bakery,40,2
Bakery,41,21
Bakery,43,1
Bakery,44,2
Bakery,45,2
Bakery,49,2
Bakery,50,2
Bakery,51,1
Bakery,53,1
Bakery,56,2
Bakery,59,1
Bakery,60,1
Bakery,63,1
Bakery,67,1
Bakery,71,4
Bakery,73,4
Bakery,74,2
Bakery,77,1
Bakery,78,2
Bakery,81,1
Bakery,83,1
Bakery,84,2
Bakery,95,1
Bakery,97,1
Bakery,98,2
Bakery,100,11
Bakery,102,1
Bakery,130,2
Bakery,142,4
Bakery,146,1
Bakery,148,1
Bakery,245,1
Bakery,502,1
Bakery,544,3
"Bakery, Desserts",0,295
"Bakery, Desserts",4,20
"Bakery, Desserts",5,17
"Bakery, Desserts",6,41
"Bakery, Desserts",7,7
"Bakery, Desserts",8,22
"Bakery, Desserts",9,8
"Bakery, Desserts",10,6
"Bakery, Desserts",11,22
"Bakery, Desserts",12,8
"Bakery, Desserts",13,8
"Bakery, Desserts",14,11
"Bakery, Desserts",15,7
"Bakery, Desserts",16,8
"Bakery, Desserts",17,12
"Bakery, Desserts",18,8
"Bakery, Desserts",19,11
"Bakery, Desserts",20,14
"Bakery, Desserts",21,8
"Bakery, Desserts",22,9
"Bakery, Desserts",23,8
"Bakery, Desserts",24,13
"Bakery, Desserts",25,13
"Bakery, Desserts",26,7
"Bakery, Desserts",27,2
"Bakery, Desserts",28,13
"Bakery, Desserts",29,11
"Bakery, Desserts",30,1
"Bakery, Desserts",31,4
"Bakery, Desserts",32,5
"Bakery, Desserts",33,17
"Bakery, Desserts",34,6
"Bakery, Desserts",35,9
"Bakery, Desserts",36,5
"Bakery, Desserts",37,1
"Bakery, Desserts",38,8
"Bakery, Desserts",39,8
"Bakery, Desserts",40,1
