rest_type,location,name
Bakery,BTM,76
Bakery,Banashankari,20
Bakery,Banaswadi,27
Bakery,Bannerghatta Road,53
Bakery,Basavanagudi,35
Bakery,Bellandur,16
Bakery,Brigade Road,30
Bakery,Brookefield,23
Bakery,Commercial Street,6
Bakery,Cunningham Road,3
Bakery,Domlur,26
Bakery,Electronic City,39
Bakery,Frazer Town,33
Bakery,HSR,33
Bakery,Indiranagar,28
Bakery,JP Nagar,63
Bakery,Jayanagar,59
Bakery,Kalyan Nagar,17
Bakery,Kammanahalli,2
Bakery,Koramangala 1st Block,42
Bakery,Koramangala 4th Block,33
Bakery,Koramangala 5th Block,28
Bakery,Koramangala 6th Block,14
Bakery,Koramangala 7th Block,25
Bakery,Koramangala 8th Block,10
Bakery,Lavelle Road,20
Bakery,MG Road,3
Bakery,Malleshwaram,15
Bakery,Marathahalli,49
Bakery,New BEL Road,9
Bakery,Old Airport Road,23
Bakery,Rajajinagar,16
Bakery,Richmond Road,10
Bakery,Sarjapur Road,52
Bakery,Shanti Nagar,6
Bakery,Shivajinagar,6
Bakery,Ulsoor,38
Bakery,Whitefield,58
Bakery,others,94
"Bakery, Beverage Shop",Jayanagar,3
"Bakery, Beverage Shop",Old Airport Road,1
"Bakery, Beverage Shop",Richmond Road,6
"Bakery, Beverage Shop",Shanti Nagar,5
"Bakery, Beverage Shop",others,1
"Bakery, Cafe",Frazer Town,5
"Bakery, Cafe",HSR,5
"Bakery, Cafe",Indiranagar,15
"Bakery, Cafe",Lavelle Road,29
"Bakery, Cafe",Marathahalli,2
"Bakery, Cafe",Whitefield,14
"Bakery, Cafe",others,8
"Bakery, Dessert Parlor",Banashankari,2
"Bakery, Dessert Parlor",Bellandur,16
"Bakery, Dessert Parlor",Domlur,8
"Bakery, Dessert Parlor",HSR,10
"Bakery, Dessert Parlor",Indiranagar,6
"Bakery, Dessert Parlor",JP Nagar,2
"Bakery, Dessert Parlor",Kalyan Nagar,14
"Bakery, Dessert Parlor",Koramangala 5th Block,10
"Bakery, Dessert Parlor",Koramangala 7th Block,31
"Bakery, Dessert Parlor",Lavelle Road,11
"Bakery, Dessert Parlor",Malleshwaram,7
"Bakery, Dessert Parlor",Marathahalli,4
"Bakery, Dessert Parlor",New BEL Road,3
"Bakery, Dessert Parlor",Rajajinagar,3
"Bakery, Dessert Parlor",Ulsoor,4
"Bakery, Dessert Parlor",others,16
"Bakery, Food Court",Bellandur,1
"Bakery, Food Court",Malleshwaram,1
"Bakery, Kiosk",MG Road,13
"Bakery, Quick Bites",BTM,11
"Bakery, Quick Bites",Banaswadi,1
"Bakery, Quick Bites",Bannerghatta Road,9
"Bakery, Quick Bites",Basavanagudi,6
"Bakery, Quick Bites",Bellandur,16
"Bakery, Quick Bites",Brigade Road,10
"Bakery, Quick Bites",Brookefield,4
"Bakery, Quick Bites",Commercial Street,16
"Bakery, Quick Bites",Cunningham Road,1
"Bakery, Quick Bites",Domlur,3
"Bakery, Quick Bites",Electronic City,11
"Bakery, Quick Bites",Frazer Town,18
"Bakery, Quick Bites",HSR,6
"Bakery, Quick Bites",Indiranagar,11
"Bakery, Quick Bites",JP Nagar,20
"Bakery, Quick Bites",Jayanagar,26
"Bakery, Quick Bites",Kalyan Nagar,3
"Bakery, Quick Bites",Kammanahalli,8
"Bakery, Quick Bites",Koramangala 1st Block,12
"Bakery, Quick Bites",Koramangala 4th Block,12
"Bakery, Quick Bites",Koramangala 8th Block,12
"Bakery, Quick Bites",MG Road,5
"Bakery, Quick Bites",Marathahalli,6
"Bakery, Quick Bites",New BEL Road,3
"Bakery, Quick Bites",Old Airport Road,3
"Bakery, Quick Bites",Richmond Road,20
"Bakery, Quick Bites",Sarjapur Road,7
"Bakery, Quick Bites",Shanti Nagar,11
"Bakery, Quick Bites",Ulsoor,7
"Bakery, Quick Bites",Whitefield,2
"Bakery, Quick Bites",others,9
"Bakery, Sweet Shop",Jayanagar,3
Bar,BTM,49
Bar,Banashankari,23
Bar,Banaswadi,9
Bar,Basavanagudi,11
Bar,Bellandur,11
Bar,Brigade Road,10
Bar,Cunningham Road,13
Bar,Domlur,17
Bar,Electronic City,25
Bar,HSR,11
Bar,Indiranagar,24
Bar,JP Nagar,17
Bar,Kalyan Nagar,10
Bar,Kammanahalli,10
Bar,Koramangala 1st Block,8
Bar,Koramangala 4th Block,67
Bar,Koramangala 5th Block,37
Bar,Koramangala 6th Block,56
Bar,Lavelle Road,13
Bar,Malleshwaram,6
Bar,Marathahalli,21
Bar,New BEL Road,4
Bar,Old Airport Road,10
Bar,Rajajinagar,2
Bar,Residency Road,39
Bar,Richmond Road,44
Bar,Shanti Nagar,10
Bar,Shivajinagar,16
Bar,St. Marks Road,13
Bar,Ulsoor,22
Bar,Whitefield,18
Bar,others,71
"Bar, Cafe",Church Street,13
"Bar, Casual Dining",BTM,6
"Bar, Casual Dining",Banashankari,4
"Bar, Casual Dining",Bellandur,11
"Bar, Casual Dining",Brigade Road,48
"Bar, Casual Dining",Church Street,13
"Bar, Casual Dining",Electronic City,6
"Bar, Casual Dining",HSR,18
"Bar, Casual Dining",Indiranagar,72
"Bar, Casual Dining",JP Nagar,8
"Bar, Casual Dining",Koramangala 4th Block,10
"Bar, Casual Dining",Koramangala 5th Block,7
"Bar, Casual Dining",Koramangala 6th Block,8
"Bar, Casual Dining",Koramangala 7th Block,40
"Bar, Casual Dining",MG Road,17
"Bar, Casual Dining",Malleshwaram,14
"Bar, Casual Dining",Marathahalli,9
"Bar, Casual Dining",New BEL Road,4
"Bar, Casual Dining",Rajajinagar,6
"Bar, Casual Dining",Residency Road,10
"Bar, Casual Dining",Sarjapur Road,26
"Bar, Casual Dining",St. Marks Road,31
"Bar, Casual Dining",Whitefield,10
"Bar, Casual Dining",others,43
"Bar, Lounge",Whitefield,3
"Bar, Lounge",others,3
"Bar, Pub",HSR,5
"Bar, Quick Bites",Brigade Road,9
Beverage Shop,BTM,193
Beverage Shop,Banashankari,6
Beverage Shop,Banaswadi,11
Beverage Shop,Bannerghatta Road,16
Beverage Shop,Basavanagudi,7
Beverage Shop,Bellandur,19
Beverage Shop,Brigade Road,14
Beverage Shop,Brookefield,12
Beverage Shop,Church Street,1
Beverage Shop,Commercial Street,13
Beverage Shop,Cunningham Road,12
Beverage Shop,Domlur,6
Beverage Shop,Ejipura,18
Beverage Shop,Electronic City,12
Beverage Shop,Frazer Town,5
Beverage Shop,HSR,46
Beverage Shop,Indiranagar,16
Beverage Shop,JP Nagar,38
Beverage Shop,Jayanagar,41
Beverage Shop,Kalyan Nagar,16
Beverage Shop,Kammanahalli,8
Beverage Shop,Koramangala 4th Block,8
Beverage Shop,Koramangala 5th Block,66
Beverage Shop,Koramangala 6th Block,6
Beverage Shop,Koramangala 7th Block,15
Beverage Shop,Koramangala 8th Block,37
Beverage Shop,Lavelle Road,6
Beverage Shop,Malleshwaram,10
Beverage Shop,Marathahalli,17
Beverage Shop,New BEL Road,4
Beverage Shop,Old Airport Road,12
Beverage Shop,Rajajinagar,2
Beverage Shop,Sarjapur Road,19
Beverage Shop,Shanti Nagar,22
Beverage Shop,Shivajinagar,6
Beverage Shop,Ulsoor,21
Beverage Shop,Whitefield,28
Beverage Shop,others,77
"Beverage Shop, Cafe",Bellandur,6
"Beverage Shop, Cafe",Church Street,16
"Beverage Shop, Cafe",Malleshwaram,6
"Beverage Shop, Dessert Parlor",BTM,1
"Beverage Shop, Dessert Parlor",Banashankari,3
"Beverage Shop, Dessert Parlor",Bannerghatta Road,2
"Beverage Shop, Dessert Parlor",Bellandur,3
"Beverage Shop, Dessert Parlor",Brigade Road,2
"Beverage Shop, Dessert Parlor",Commercial Street,4
"Beverage Shop, Dessert Parlor",Electronic City,2
"Beverage Shop, Dessert Parlor",HSR,7
"Beverage Shop, Dessert Parlor",Indiranagar,6
"Beverage Shop, Dessert Parlor",JP Nagar,1
"Beverage Shop, Dessert Parlor",Jayanagar,14
"Beverage Shop, Dessert Parlor",Kalyan Nagar,4
"Beverage Shop, Dessert Parlor",Koramangala 5th Block,5
"Beverage Shop, Dessert Parlor",Koramangala 7th Block,1
"Beverage Shop, Dessert Parlor",Lavelle Road,4
"Beverage Shop, Dessert Parlor",Malleshwaram,2
"Beverage Shop, Dessert Parlor",Marathahalli,2
"Beverage Shop, Dessert Parlor",New BEL Road,3
"Beverage Shop, Dessert Parlor",Rajajinagar,4
"Beverage Shop, Dessert Parlor",Sarjapur Road,5
"Beverage Shop, Dessert Parlor",others,4
"Beverage Shop, Quick Bites",BTM,33
"Beverage Shop, Quick Bites",Banashankari,11
"Beverage Shop, Quick Bites",Bannerghatta Road,6
"Beverage Shop, Quick Bites",Basavanagudi,3
"Beverage Shop, Quick Bites",Bellandur,7
"Beverage Shop, Quick Bites",Brookefield,6
"Beverage Shop, Quick Bites",Church Street,7
"Beverage Shop, Quick Bites",Cunningham Road,3
"Beverage Shop, Quick Bites",Electronic City,5
"Beverage Shop, Quick Bites",Frazer Town,4
"Beverage Shop, Quick Bites",HSR,15
"Beverage Shop, Quick Bites",Indiranagar,8
"Beverage Shop, Quick Bites",JP Nagar,9
"Beverage Shop, Quick Bites",Jayanagar,17
"Beverage Shop, Quick Bites",Kalyan Nagar,6
"Beverage Shop, Quick Bites",Koramangala 1st Block,10
"Beverage Shop, Quick Bites",Koramangala 5th Block,32
"Beverage Shop, Quick Bites",Koramangala 6th Block,15
"Beverage Shop, Quick Bites",Koramangala 7th Block,16
"Beverage Shop, Quick Bites",MG Road,9
"Beverage Shop, Quick Bites",Malleshwaram,3
"Beverage Shop, Quick Bites",Marathahalli,28
"Beverage Shop, Quick Bites",New BEL Road,7
"Beverage Shop, Quick Bites",Old Airport Road,2
"Beverage Shop, Quick Bites",Rajajinagar,2
"Beverage Shop, Quick Bites",Residency Road,5
"Beverage Shop, Quick Bites",Whitefield,10
"Beverage Shop, Quick Bites",others,19
Bhojanalya,others,3
Cafe,BTM,290
Cafe,Banashankari,87
Cafe,Banaswadi,44
Cafe,Bannerghatta Road,79
Cafe,Basavanagudi,42
Cafe,Bellandur,55
Cafe,Brigade Road,111
Cafe,Brookefield,35
Cafe,Church Street,92
Cafe,Commercial Street,20
Cafe,Cunningham Road,46
Cafe,Domlur,19
Cafe,Electronic City,43
Cafe,Frazer Town,35
Cafe,HSR,141
Cafe,Indiranagar,201
Cafe,JP Nagar,159
Cafe,Jayanagar,201
Cafe,Kalyan Nagar,76
Cafe,Kammanahalli,52
Cafe,Koramangala 1st Block,97
Cafe,Koramangala 4th Block,138
Cafe,Koramangala 5th Block,361
Cafe,Koramangala 6th Block,109
Cafe,Koramangala 7th Block,117
Cafe,Koramangala 8th Block,31
Cafe,Lavelle Road,5
Cafe,MG Road,102
Cafe,Malleshwaram,59
Cafe,Marathahalli,67
Cafe,New BEL Road,73
Cafe,Old Airport Road,9
Cafe,Rajajinagar,6
Cafe,Residency Road,58
Cafe,Richmond Road,51
Cafe,Sarjapur Road,50
Cafe,Shanti Nagar,46
Cafe,Shivajinagar,22
Cafe,St. Marks Road,20
Cafe,Ulsoor,130
Cafe,Whitefield,65
Cafe,others,284
"Cafe, Bakery",BTM,13
"Cafe, Bakery",Bannerghatta Road,19
"Cafe, Bakery",Bellandur,6
"Cafe, Bakery",Brookefield,6
"Cafe, Bakery",Electronic City,4
"Cafe, Bakery",HSR,4
"Cafe, Bakery",Indiranagar,17
"Cafe, Bakery",JP Nagar,4
"Cafe, Bakery",Kalyan Nagar,6
"Cafe, Bakery",Koramangala 7th Block,9
"Cafe, Bakery",Lavelle Road,10
"Cafe, Bakery",MG Road,20
"Cafe, Bakery",New BEL Road,3
"Cafe, Bakery",Shivajinagar,18
"Cafe, Bakery",Ulsoor,18
"Cafe, Bakery",others,6
"Cafe, Bar",Koramangala 5th Block,19
"Cafe, Casual Dining",Banashankari,11
"Cafe, Casual Dining",Bannerghatta Road,14
"Cafe, Casual Dining",Church Street,15
"Cafe, Casual Dining",HSR,20
"Cafe, Casual Dining",Indiranagar,27
"Cafe, Casual Dining",Jayanagar,8
"Cafe, Casual Dining",Kalyan Nagar,6
"Cafe, Casual Dining",Koramangala 4th Block,12
"Cafe, Casual Dining",Koramangala 5th Block,20
"Cafe, Casual Dining",New BEL Road,7
"Cafe, Casual Dining",Ulsoor,15
"Cafe, Casual Dining",others,18
"Cafe, Dessert Parlor",Bellandur,5
"Cafe, Dessert Parlor",Cunningham Road,25
"Cafe, Dessert Parlor",Domlur,16
"Cafe, Dessert Parlor",Electronic City,6
"Cafe, Dessert Parlor",HSR,5
"Cafe, Dessert Parlor",Indiranagar,12
"Cafe, Dessert Parlor",Koramangala 5th Block,15
"Cafe, Dessert Parlor",Koramangala 7th Block,19
"Cafe, Dessert Parlor",Malleshwaram,6
"Cafe, Dessert Parlor",Sarjapur Road,2
"Cafe, Dessert Parlor",Whitefield,12
"Cafe, Dessert Parlor",others,25
"Cafe, Food Court",Bellandur,2
"Cafe, Lounge",others,15
"Cafe, Quick Bites",BTM,16
"Cafe, Quick Bites",Banashankari,8
"Cafe, Quick Bites",Banaswadi,6
"Cafe, Quick Bites",Bellandur,4
"Cafe, Quick Bites",Indiranagar,5
"Cafe, Quick Bites",JP Nagar,12
"Cafe, Quick Bites",Kammanahalli,12
"Cafe, Quick Bites",Lavelle Road,10
"Cafe, Quick Bites",MG Road,10
"Cafe, Quick Bites",Malleshwaram,2
"Cafe, Quick Bites",Marathahalli,14
"Cafe, Quick Bites",Sarjapur Road,9
"Cafe, Quick Bites",others,3
Casual Dining,BTM,711
Casual Dining,Banashankari,148
Casual Dining,Banaswadi,111
Casual Dining,Bannerghatta Road,317
Casual Dining,Basavanagudi,98
Casual Dining,Bellandur,295
Casual Dining,Brigade Road,290
Casual Dining,Brookefield,135
Casual Dining,Church Street,151
Casual Dining,Commercial Street,71
Casual Dining,Cunningham Road,202
Casual Dining,Domlur,90
Casual Dining,Ejipura,27
Casual Dining,Electronic City,282
Casual Dining,Frazer Town,152
Casual Dining,HSR,541
Casual Dining,Indiranagar,483
Casual Dining,JP Nagar,543
Casual Dining,Jayanagar,489
Casual Dining,Kalyan Nagar,243
Casual Dining,Kammanahalli,143
Casual Dining,Koramangala 1st Block,102
Casual Dining,Koramangala 4th Block,179
Casual Dining,Koramangala 5th Block,559
Casual Dining,Koramangala 6th Block,216
Casual Dining,Koramangala 7th Block,283
Casual Dining,Koramangala 8th Block,10
Casual Dining,Lavelle Road,80
Casual Dining,MG Road,172
Casual Dining,Malleshwaram,115
Casual Dining,Marathahalli,394
Casual Dining,New BEL Road,115
Casual Dining,Old Airport Road,72
Casual Dining,Rajajinagar,112
Casual Dining,Residency Road,152
Casual Dining,Richmond Road,203
Casual Dining,Sarjapur Road,198
Casual Dining,Shanti Nagar,145
Casual Dining,Shivajinagar,43
Casual Dining,St. Marks Road,95
Casual Dining,Ulsoor,174
Casual Dining,Whitefield,459
Casual Dining,others,916
"Casual Dining, Bar",BTM,22
"Casual Dining, Bar",Banashankari,1
"Casual Dining, Bar",Banaswadi,9
"Casual Dining, Bar",Bannerghatta Road,10
"Casual Dining, Bar",Basavanagudi,8
"Casual Dining, Bar",Bellandur,28
"Casual Dining, Bar",Brigade Road,26
"Casual Dining, Bar",Brookefield,12
"Casual Dining, Bar",Church Street,71
"Casual Dining, Bar",Domlur,13
"Casual Dining, Bar",Electronic City,19
